ID,Q1,Q2,Q3
27,"The responsibility lies with those who caused this pollution. If it was caused by governments, then they should address it; if it was caused by companies, then they should take responsibility. Everyone should be involved in closing the loop.","The rate of commercialization will depend on the severity of the pollution problem. I don't have a good idea of the scale of the problem. Yes, we launch a lot, but space is also vast. So, I want to know what the threshold for a problematic level of pollution is. Are we at 1% pollution level or 0.000001%? If it's the latter, then there may not yet be a market for sustainable space tech. People would likely invest in something more urgent and tangible.   How useful are these technologies? Law - the main driver, as in any industry, when it comes to sustainability. Challenges: Space is so distant, so there would not be that much public attention, it is not as visible as the effects on the Earth. So the problem needs to become extremely grave for people and the media to start somehow noticing it. All space solutions are very costly. Sustainable and unsustainable alike. So, how will you drive public opinion - is the key question? If it is that much costly, the public opinion needs to be extremely strong to override this challenge and push governments and companies to act. Just like in other sectors.",
28,"The costs should be shared among all stakeholders, including businesses and states, as these technologies would be quite resource-intensive in terms of money and personnel. While I'm not very familiar with this problem, I understand that it is starting to grow. I know that there are many constellations like Starlink and its competitors, as well as governments using satellites for defense purposes. They should contribute financially.","As with every sustainable technology, sustainable space technologies will likely be introduced with government aid. Before a company can expect any return, it needs some support from the state. Therefore, the first factor is the nudge from the state.It is also possible that companies will recognize the problem and take initiative, but I am not certain that will happen.I see the same set of problems as in other sectors with sustainable technologies. There is no immediate profit, so I do not see a strong motivation for companies to take such initiatives, but hopefully I am mistaken.","Once again, I do not see why companies would voluntarily pay for it. I believe the only way to get your technology recognized is to open-source it. However, I am not an expert, and I might be overlooking something."
29,"I see massive potential in commercialization of sustainable space technologies. As for who needs to pay, I think it should be some form of tax on all the companies who build satellites; and all the states that launch satellites need to implement sustainable solutions financed from those taxes and from their budget.","Space is owned by everyone and no one, like the oceans, so the issue is that a private company would be the sole bearer of costs, but the benefits will be distributed among all actors, including its competitors. I think cost-effectiveness would be the main driver of adoption: to implement a sustainable technology must be cheaper than to deal with the problems that arise if you do not implement it. And pressing need, but that's going to be in a while, because, from what I know, the situation is not yet catastrophic in space. And then because there's a lot of military usage, there's probably an incentive for space nations who use it, to make sure it stays clean.","Your potential customer is whoever launches a new satellite - governments or companies, so that they know they won’t get in the way of space debris."
30,"For the moment, space business is still closely intertwined with governments. For example, SpaceX is called a private company, but there is a lot of public money flowing in, therefore it's not really a private company. Is there a way to make money without governmental aid? Not sure. It's truly difficult to become a fully private, profitable company. There needs to be a legal framework requiring all satellite operators to have a plan to clean up space debris once their satellites reach the end of their operational lives. Yet, various challenges make it difficult to establish a profitable framework for private companies to ensure that. Nonetheless, if a company launches a satellite, it should be responsible for cleaning up orbital debris.","The legal framework is crucial, as legislation holds significant power compared to other factors. It is easier to incentivize the prevention of orbital pollution than to clean it up afterward. For instance, we can enact regulations requiring satellite operators to dispose of their satellites without leaving debris in orbit. However, dealing with existing objects in orbit, especially military or classified ones, poses additional challenges. Private companies may be reluctant to bear the cost of removing them. Also, private companies are ‘lazy’. They want a quick, efficient solution that would not cost them a lot of money, time and effort. Governments are more patient and have deeper pockets.","Who could be interested - entities that would like to clean or to launch new satellites, to avoid collisions; actors that would like to control and to enhance databases with objects, and more data on the object. Because if you have the shape, the rotation, and information on how the object changes over time; then if you ever collect data on a collision, this could be interesting. Imagine tackling Earth pollution, focusing solely on CO2 and microparticles. It's challenging, right? Now, picture extending that effort to satellites and space debris. As space gets more congested, launching satellites becomes increasingly tricky. There's a tipping point looming. It's unfortunate that we often reach a crisis point before taking action, like a messy teenager's room - it won’t be cleaned until it is impossible to cross it.Consider ClearSpace, for instance. While it's a great initiative, operating profitably in such a niche market is tough. There's a complex interplay between private companies, governments, and military interests. Who foots the bill? What about legalities? Ensuring compliance and enforcement across various jurisdictions is no small feat. Factor in diverse national interests—like those of China, for instance—and navigating this landscape becomes even more complicated."
31,"Mostly governments, but they can also either force or incentivise companies to participate in sustainable transition. By ‘forcing’ I mean laws and taxes, and by ‘incentivising’ I mean subsidies, raising awareness, tax benefits for those companies that adopt sustainable solutions, etc.","Drivers: New potential energy sources can be a major driver for private adoption of sustainable space tech. Space energy sources could be an incredible investment, as they will become profitable in future, but you cannot use that energy if space isn’t clean. We might not feel the pressure of orbital pollution, but we do already notice and we do suffer from climate change on Earth. And that can be a major driver to invest in sustainable space tech. Both to prevent what is happening on Earth from happening in space too, and to help mitigate climate change on Earth (space for sustainability, earth observation, etc). There will always be the military aspect of space, and there are many private companies engaged in the defense sector. If orbital pollution becomes a major threat (and it, most likely will), then the defense would require sustainable space solutions to keep functioning smoothly in the space domain, therefore, private companies will have the incentive to develop sustainable space tech with the aim to sell it to the military. Barriers: It takes a long time to get a return on your investment. Investment propensity and adoption rate largely depend on stability, geopolitical environment, and currently it is a far cry from perfect. Unknown/rapidly changing set of regulations. It’s not clear who settles disputes, for example. Tech barriers. Operating in space is a difficult task, leaving no room for error, since it is a fully autonomous environment. Sustainability is oftentimes pushed for by the public, and the public is more preoccupied with what is happening on Earth, in their countries, in their regions. They would rather push their governments to clean up a river that runs in their region than pay for sustainable space. Same thing with investors: if they are environmentally conscious, they care about sustainable development, they would rather invest in something that would have a tangible impact on the society, where they live, for example, they could invest in a venture that filters the air from dangerous particles. Even though the world is globalized, and we want to believe that we think big as a society; in the end, we always care more about what happens locally.","There is always value in the data that allows us to predict things more accurately, that is why I see commercial value in your project. Autonomous systems are necessary in space, therefore there appears a market necessity to predict & avoid collisions - this is the commercial value for private companies and governmental agencies operating in space. The easier it is to make predictions - the better. Hence, the most processed data is the most useful one for private actors, who would not want to waste time and other resources on processing the half-ready data themselves. They want software that is intuitive, ready to be used, does not require special education to operate, and reduces their risk of losses (collision risks).   ROUND 2"
201,"I believe the space sustainability ecosystem should be organized much like the sustainability ecosystem on Earth. In the case of space debris removal, it's like waste management on Earth. Garbage is removed from your house by specific companies appointed by the state or your local community, and it's funded by taxpayers. You pay a communal tax, and your garbage is cleared using that money. In space, it should be very similar, with a particular focus on the principle of ""the more you pollute, the more you pay."" If Starlink launches hundreds of satellites, polluting with hundreds of thousands of tons from launchers taking off on Earth, and many of these satellites become debris, then the launching state (in this case, the US) should establish rules on how to remove and mitigate these activities. It also needs to be very well coordinated on the international level, which is not the case today. Currently, it's like the Wild West, where everyone basically does whatever they want. But ultimately, space sustainability should be part of a global sustainability effort. I think it’s a long path, but ultimately, it should be global. There should be mechanisms in place.","Regarding the barriers, I have already mentioned the international political environment, which hinders the creation of a positive and results-driven regulatory framework. The first barrier is the lack of a regulatory environment. The second is funding for space sustainability projects. Space is quite capital-intensive, lengthy, risky, and offers returns on investment that are quite different from other industries like retail or IT. In this context, sustainability programs are longer. There is significant interest in space and its sustainability; but access to funding is a crucial barrier to advancing these initiatives sooner rather than later. Additionally, I would point out the level of technological complexity as another barrier. When discussing space debris or in-orbit servicing, technologies such as capture, rendezvous, and proximity operations are exceedingly complex from a technological standpoint.  As for the positive drivers, space is becoming more privatized. There are many more private entities than there were 20, 30, or 50 years ago, making it somewhat similar to the IT or aviation industries. It is slightly regulated but is driven by private actors. SpaceX is the most prominent example.",
202,"Well, first of all, this question (and the answer to it) should be split in two: ‘Who should pay for future launches?’ and ‘Who should pay for the mess that is already there?’. In the second case, no company would or should take responsibility for it. Only states are responsible for it, so the answer is ‘only states should pay’. The answer to the first question is that it is possible to oblige companies to pay for it. For example, through UN treaties or ITU that regulates telecommunication: it has some leverage. And for the future, the solution could be the UN: whoever is responsible for the launch should have an obligation to pay for any measures that need to be taken to maintain the space ‘clean’, available for future launches, and sustainable.","A company should be big enough, so you cannot expect startups to pay for sustainable solutions, in space or on Earth, but in space specifically, because they already face huge expenses: the space sector is capital-intensive. So, from a certain size - yes, a private company could be an adopter of sustainable technologies in space. But not small, and not even medium companies. Then, we need to remember that the main task of the company is to do whatever it was created for. So, it would adopt a technology if it concerns its core business. For example, take a satellite constellation operator - they would need to make sure nothing collides with their satellites, so they could invest in a tracking, like a live dynamic model of the skies solution. But not because they are deeply concerned about sustainability (or maybe they are, I don’t know), but because they need to avoid collisions in order to maintain their core business. So, this is key - the factor of whether it concerns a company’s core business or not. If not, a private company wouldn’t bother; unless they are forced by law, of course. Companies that are running large constellations would be prime customers. They are both big in size and their core activities would suffer if they don’t implement those solutions. And in general, we can see that generally it is the big companies that try to push sustainability. Barriers. Of course costs. And they will stay high. Sustainability is a burden, companies don’t want a financial burden. A solution to the problem can be insurance. But the bottom line is: commercialisation of sustainable space technologies is entirely possible. We need to look at the policies of the big spacefaring nations. They have the most space assets, so they would be most interested in sustainability in space. First of all, they need to differentiate between launchers and satellite operators. It’s for policies, for sustainable space technologies development. There are, of course, special cases, like space stations. States need to share both successes and responsibilities with private companies. It should become normal to care.",
203,"It depends on the program, which will be the final use case for the technologies. It can be private funding, but it can also be public funding because it is a public regulation that imposes the obligation to make use of sustainable technologies. So, the main driver is the final use case. If it is for a public program, then it is in the interest of the public sector, the institutional world, so it means that it is the public sector that shall pay for the technology development. If it is for commercial end-users, like telecom or commercial exploration, then it means for me that it has to be, as a minimum, co-funded by the private sector. Whoever benefits from this technology in the end has to pay for the technology development.","It depends on regulations, because I believe that the private sector will have no interest in investing in any sustainable technology if they are not forced to do so. For the moment, they use technologies that are already qualified, mature, and the need to implement new technologies has always to either improve the performance, which could be the case if you want to develop something lighter or more performing, or with an extended lifetime, or for an equivalent performance which is cheaper. So, in that case, there is a direct motivation for the end-user to invest into the qualification, considering there is a return on investment. If we think only about the fact that the technology is more sustainable, it means that it does not provide any additional performance, it does not provide any gain, it just permits compliance with green rules.","For sure, there is an interest to map and monitor any debris. For the moment, I believe it is already done, but maybe the question revolves around the minimum size of the debris we are able to track. If you improve that, it will be interesting for sure. Who is interested in knowing what the debris is, where they are located, how much risk it represents for space assets in general? It is the army, national agencies or international agencies, it is the operators that are intending to fly in specific orbits that can be already pretty messy with such debris. Are they interested in getting additional information? I cannot tell you. And then, is there any commercial potential with such technology? It is clear that all the armies are very much interested in SSA, SDA, whatever it comes from ground sensors or in-orbit sensors. Most of the information that is used to do some SSA or SDA activities are coming from ground sensors, so it would be additional sensors. There is always the willingness to have your own information. If you are able to develop a system that permits to track and which is located at a certain place, then it means that you are able to consolidate some analysis yourself, some observation yourself, not only based on information you will receive from outside, like the space track catalog from the US Space Command, but also from self-owned assets you have on the ground. So it is always interesting to have additional information and be as autonomous as you can, but which is the commercial value you could have with such a type of service, I cannot tell you. The problem with the XaaS model is: are you sure there is a market for that? And whether there is a market or not, you will discover only having some business development activities, but if you do not have the pressure of the return on investment you have made, it means you have time, you have no investor to make happy. It's a low-risk initiative, so no reason not to try."
204,"I think space actors should pay. There should be a sharing between private space actors and public space actors, particularly since launching states remain liable. The main launching states, such as the US, Russia, and China, have much more responsibility in terms of space debris. I believe they should pay more for the debris currently in outer space. I'm in favor of a sharing arrangement between the private and public sectors, according to the number of spacecraft in orbit.","It's clear that incentives by the law, both national and international, are necessary. However, it's also crucial to measure and quantify properly the risks caused by space debris and unreasonable behavior in outer space. Space law is not as flawed as some might think. People used to criticize space law as being inadequate because there was no law in outer space, which is not true. There is a law, there is a system, but we need to be more accurate in defining the right behaviors in outer space to quantify the risks caused by bad behavior. Behaviors like not coordinating with others, not sharing orbital data, and creating new debris are really dangerous and should be quantified. Actors should pay for the risks imposed by national law or insurance.","I've often heard that space traffic and accessibility should be free, as it's fashionable to think everything should be free. However, there is work involved, and it's normal to pay for that. But regarding space debris, there is already data available on the web from organizations like ESA or NASA. It's hard to say without seeing the exact commercial scheme or business plan. It's in the interest of all space actors to access the most accurate data on space debris possible. If the system is only available for a significant fee that smaller actors cannot afford, it could be problematic and cause more damage. There should be a financially feasible scheme so that everyone can afford this access, as equal access to space is crucial. This access is becoming increasingly difficult due to space debris and the complexities of space traffic, which raises barriers for newcomers to access space.  XaaS is a feasible approach to maintain public funding for basic research while transitioning to private sector exploitation when ready. If efficient, larger actors might significantly contribute to this system, enhancing global security in outer space."
205,"In my opinion, we first need to differentiate between an ideal world and what is realistic. In the ideal world, of course, everything would be regulated by international agreements, between all the spacefaring nations, which is now almost all the nations. I do not think it’s the governments’ duty to pay. They should mandate it. And then every satellite that is launched only gets permission to be launched if they have a solution on how to bring it down. And then, if it’s a commercial mission, that it’s part of their finances, they should calculate this in. But it starts with a government mandate.  Now we know that it is not possible for all the countries, but at least the western world should be a good example and government mandated regulations in place.","A Government mandate is a pretty good incentive, if they [satellite operators] cannot launch otherwise. Apart from this, I think, in the commercial world, if the technology makes it cheaper, better, faster, one of the three, two of the three or ideally three of the three, then they would adopt it. If not, then it has to be government mandated. Companies would hardly go for more expensive solutions just because they are sustainable, just because of their good will. ESA, NASA can do that, but not the commercial world.","If it is a global problem, it should be open-sourced. Just a general statement. If there is a commercial service that has better information about space debris, it could become of interest for satellite placement for future missions, because it becomes more and more difficult to find orbital positions, to avoid space debris and so on. You know, if there is an added value that you can deliver to a company to give them a recommendation about an orbit placement, there could be some value as well. I think you could also go for a hybrid approach, where you have a raw database, because then you also have contributions from other entities, and it could grow and become more interesting. But then you sell value-added services on top. And then I would even go a step further and extrapolate into the future on how space debris moves and evolves, having certain statistics as well (e. g., for how long is the orbit safe, how safe). So, a potential roadmap is to open-source it and make others make their contributions. Then you need to have some quality checks. There are space debris databases. There is NASA, ESA. Additionally, collision avoidance would be an interesting service to provide. Commercial entities would be extremely interested in it. If you can provide data for smaller particles, because even a 1-cm object can have a devastating impact on the ISS or a satellite. You can even take some proactive approach, if you can predict a collision, you go to a satellite operator and you tell them ‘hey, you are on a collision course. if you want the data, pay us!’"
206,"I think it all depends on the spectrum of what you define as sustainable in space. In terms of applications, technologies, but it can also be the behaviour of space actors.  I think governments definitely should support and fund researchers, but the responsibility, I believe, should rather be held by operators, who are physically engaging in space activities. And then we should put this on top of the agenda, as a priority, with the support of governments. This most likely will change overtime. The way I could picture that is how it was in air transport. It used to be an idea and concept and now it has become a clear part of any business application. If you fly on a commercial plane now, you can take personal actions about your sustainability impact. And also at plane construction they select certain applications and technologies. And I think that space will follow a similar path, where responsibility would be diluted across multiple axes, and supported by states.","I think it is connected to the mentality of people and to society. More and more we see that sustainability now is an inherent part of any business. Predominantly because of social pressure and social norms around this conventional use of resources that we have had so far. For too long it was ok for companies to do whatever they want, with impunity on the impact and no repercussions for their activities. And I think now the mindset of the general public will push companies to actually act responsibly about their in-space flights and in-space activities. This is a very Western way of seeing this concept, and it would be very interesting to analyze this concept with different mindsets coming from new companies or new countries starting space exploration, for example, India, China, other Asian and Latin American countries that have also evolved to space exploration to see if they share a similar mindset. My thinking is that perhaps we are a couple of years ahead of their mindset, because they will first want to prove their technology before taking an action to make it sustainable. And I think it’s a step by step approach, we are more far ahead, meaning that our companies will have to integrate sustainability in their actions, otherwise they would not have any credibility among the population and the public at large. But other nations still have a couple of years ahead before it becomes required and mandatory.","I think both a commercial path and an open-source path are possible. I’ve seen on the market many actors actually pursuing both endeavors by segmenting their data in a timely manner. So, the open data for the safety of space activities is critical nowadays, and should always be considered. But information is key, and accuracy and timeliness of information make it even more valuable. I think to be able to continue offering free information that can be fully accessible, you need funding, and a good way to do funding is obviously to go commercial. The way I would approach this topic, is to offer subscriptions (commercial side) in a time-sensitive manner, meaning that any update within X hours will be accessible. But then this update will be delayed by several days before it is open-sourced and reaches the general public. And so you basically have a premium access and premium knowledge on what is happening, and for that you would pay a premium price. And doing this can be very useful for key actors, for example, insurance companies, because they would want to know  what orbits are polluted or are expected to become polluted, meaning, the risk of collisions is increased, meaning that the premium they would have to pay for insurance will also be increased. But also for coordination of activities, orbital transfer, large-scale maneuvers that will happen  in different orbits that is also the prime information that you would want to know ahead of everyone else, because then you would want to take preliminary action and not just consult an open-source environment."
207,"Probably a combination [of public and private money]. Actually, it depends on the type of the mission. You have two types of space activities: institutional space driven by space agencies (ESA, NASA, JAXA, ISRO, etc) and on the other side you have New Space missions, commercial missions, and some of them are driven by the agencies, but most of the missions are commercial missions. So, for institutional space, as it has public funding, it is paid by us, taxpayers, and it should take sustainability into account in the budget granted by the agencies. Regarding commercial activities, sustainability will probably be paid for by the end-user. The costs will be diluted, integrated, consolidated into the price of the service provided by these missions. But in any case, my belief is that it is complete nonsense to allow billionaires to send thousands or tens of thousands of objects into space without having any possibility to bring them back. At least there should be a tax. Probably, it should be managed by the UN or a kind of consortium of all the space agencies. Because the problem can prevent our great-grandchildren from sending anything to space! It is like pollution on earth.","If in the end, it is cheaper for them to use it than not use it, they would adopt such a technology. For instance, SpaceX is using the same rocket several times. Obviously, they say it is to prevent pollution (and, it is the case), but it is in fact because it is less expensive. And today ArianeSpace is looking into a solution like that to decrease the price. The purpose of a private company is to create profit. So, it is either you force companies to use sustainable components and solutions, or these sustainable components and solutions are cheaper. And these are the only two solutions.","If you want to broadcast and if you want to have an impact on the industry, then open-source it, combine with training sessions, performing API, and ergonomic solutions. And you will be paid for the training sessions, for the expertise and not for your data. Space is a complex field, and companies are operating under short timeframes. They would not want to waste too much time figuring out how to use your technology, they want quick solutions. Open source it for everyone, so that academics, who have more time and patience, can learn how to use your technology by themselves. And, maybe, they would also contribute with their data. And then you sell training sessions to companies.  So, if you really want to address the private market, open-source is the right solution, but with added services which will obviously not be free. I guess it is the best solution. I used to work in software, and from my experience, if you want to address the private market,  open-source data is never enough. You need to teach people, you need to provide them with solutions that will help them to process the data and use it for their own needs. And these side activities will generate some revenue for you. But the data itself should be free, without any IP. It is an intermediate solution. With this solution you would address part of the market, but most of the companies would probably prefer embedding your solution  in their solution. So, some of the companies accept external IPs in their solutions, but most of them want to export, they don’t want to negotiate with third parties if they are allowed or not allowed to use the IPs. I think you constrain your market. But obviously, it is a solution, and you can explore it."
